SOURCE,NAME,AUTHOR,PAPER,UPLOADED,UP_YS,SUSAB,FILES,SIZE,DOWNS,DOWNS_Y,NBS,VOTES,RELEV,REASON
'Kaggle',Oil Spill Classification,Sudhanshu Rastogi,,3y,3,9.4,1,79,4438,1479,24,90,,
'Kaggle',Oil Spills,Mohamadreza Momeni,,2y,2,10.0,6,2,678,339,2,103,,
'Kaggle',Oil Spill,Ashraf Khan,,5y,5,5.9,1,79,2058,412,1,26,,
'Kaggle',Oil spillage data,Chirag Chauhan,,3y,3,10.0,1,10,789,263,2,30,,
'Kaggle',oil-spill,Nabil Sherif,,2y,2,1.9,2224,397,1073,536,13,11,,
'Kaggle',Oil Pipeline Accidents - 2010-Present,Department of Transportation,,9y,9,8.2,1,208,9583,1065,48,156,,
'Kaggle',Oil Spill Incidents Dataset,Anoop Johny,,2y,2,10.0,1,21,337,168,1,11,,
'Kaggle',Oil spills off US coastal waters,koustubhk,,4y,4,10.0,1,957,665,166,1,24,,
'Kaggle',Texas oil and gas industry water spills 2013-2022,Sujay Kapadnis,,2y,2,10.0,2,2,736,368,1,23,,
'Kaggle',Oil Spills,willian oliveira,,2y,2,10.0,1,,102,51,1,6,,
'Kaggle',Spill_Data,Damingo Levi,,7y,7,5.6,412,12,582,83,4,17,,
'Kaggle',Global Oil Spills Data from 1970-2023,Nafay Un Noor,,1y,1,9.4,1,,123,123,0,14,,
'Kaggle',Oil Spill Dataset,Paul Holdsworth,,5y,5,4.7,1,79,201,40,1,4,,
'Kaggle',Oil Pipeline Spill Analysis,Saurabh,,6y,6,2.9,1,206,278,46,1,6,,
'Kaggle',Mussel Watch,Sohier Dane,,8y,8,8.2,6,10,1511,189,118,42,,
'Kaggle',Marine Oil Spill Detection,Afzal Khan,,10m,1,6.3,300,59,206,206,0,3,,
'Kaggle',Oil spill Dataset- Binary Image Classification,vighnesh anand,,4y,4,0.6,4000,830,975,244,25,4,,
'Kaggle',Oil Spill Detection — Binary Image Classification,atif khan 89,,8m,1,6.9,247,28,110,110,0,3,,
'Kaggle',Oil Spill and No Oil Spill,sin(V),,4y,4,0.0,247,28,139,35,0,7,,
'Kaggle',Oil Pipeline Accidents,Oil Spill,,10m,1,7.6,1,308,93,93,0,1,,
'Kaggle',oil spill,youssef ahmed,,1m,1,3.1,19225,496,0,0,1,0,,
'Kaggle',Oil Spill,Aahan Mehra,,4y,4,1.2,1,79,27,7,0,1,,
'Kaggle',oil spill,Sanika Kulkarni,,1y,1,1.9,2224,397,26,26,1,0,,
'Kaggle',Oil Spills Image Data,@mlengineer,,4y,4,1.3,433,9,120,30,0,3,,
'Kaggle',Oil Spills,Amirhossein Jafarnezhad,,3m,1,7.1,6,2,5,5,0,0,,
'Kaggle',oil-spill,kareemkhalill_,,8m,1,2.5,2400,2,13,13,0,0,,
'Kaggle',Hyperspectral oil spill detection dataset,Sangam Kumar,,3y,3,0.0,18,2,107,36,0,3,,
'Kaggle',Sentinel-1 SAR Oil Spill Detection Dataset,harikrishnacs,,1m,1,8.1,5643,68,5,5,0,0,,
'Kaggle',oil spill,Laven Srivastava,,1y,1,1.3,2537,1,40,40,0,0,,
'Kaggle',Three Gorges Oil Spill Data,wendy vane,,3y,3,1.2,2,2,16,5,0,1,,
'Kaggle',oil-spill-raw-segmentation,Sagda Esmat Alsawy,,1m,1,1.9,6781,149,0,0,1,0,,
'Kaggle',Oil spill Infrared,Thadzy,,1y,1,1.9,4522,351,8,8,0,0,,
'Kaggle',oil spill data,AadeshMishra2006,,1m,1,1.3,3337,403,0,0,0,0,,
'Kaggle',MADOS (Marine Debris and Oil Spill),Kaushal Maniyar,,3m,1,4.1,3,44,15,15,0,0,,
'Kaggle',Patents Number per country - worldwide,Antonis Prodromou,,3y,3,5.3,1,958,140,47,1,1,,
'Kaggle',Road Accident Data Analysis using Microsoft Excel.,Lakshmi Pragna Kollu,,2y,2,5.3,1,53,314,157,0,4,,
'Kaggle',Road Accident Dataset,Ravi Tiwari RT,,1y,1,4.1,1,7,123,123,0,0,,
'Kaggle',Oil_Spill_Detection_Dataset,Nilay Sasturkar,,1m,1,1.3,6682,404,0,0,0,0,,
'Kaggle',HSI_Complete,A.Venkat Sri Harsha,,9m,1,0.0,18,2,17,17,0,0,,
'Kaggle',Oil_spill_datasets,Afinogentov Alexander,,1y,1,1.9,307,53,42,42,2,0,,
'Kaggle',No_oil-spill,kareemkhalill_,,7m,1,2.5,1370,1,1,1,0,0,,
'Kaggle',Spill_Oil_RGB,luthfiahmadamirulloh,,6m,1,1.9,2537,1,7,7,0,0,,
'Kaggle',oil_spill_dataset,Prashya Biju,,5m,1,1.3,2537,1,6,6,0,0,,
'Kaggle',Overlayed_Oil_Spill,Shantanu Dhar,,6m,1,1.3,5630,122,0,0,0,0,,
