,count,mean,std,min,25%,50%,75%,max
IDX_POLY,385.0,16.306493506493506,14.87796134442598,0.0,4.0,11.0,26.0,60.0
CENTR_KM_LAT,385.0,19.446608133373644,0.15553137646292872,18.84600279460162,19.37289134492001,19.468186558020104,19.556512276487663,19.915224116985865
CENTR_KM_LON,385.0,-92.26429636649164,0.2565595299302375,-93.0260418185074,-92.3461915309669,-92.20868598627972,-92.07212911928173,-91.84759900628195
AREA_KM2,385.0,1.7947216132563115,6.865188561631096,0.0101250711966773,0.1000972234278282,0.2401935358489019,0.6618666185134087,80.34525601831258
PERIM_KM,385.0,22.162631165835972,57.5399382204543,0.8523571897623746,3.4861108697957555,6.4809595780055655,15.634876054579983,538.0647025163464
COMPLEX_MEAS,385.0,394.1661433965261,637.3754611781312,24.06151455113246,105.04155161940086,195.95923646748872,410.6702786424103,4852.266523793549
SPREAD,385.0,1.0369778816184585,1.065532634462746,0.0533127447701596,0.4158093739013003,0.7356444604881304,1.19579259524694,8.770207510297526
SHP_FACT,385.0,31.36674506051299,50.72072762598801,1.9147544895451487,8.358941085135065,15.593940564157212,32.680102413432806,386.13110123053553
HU_MOM1,385.0,3.133232300599706,0.027713024753681686,3.0007096144962926,3.1234660780627714,3.1429592254419885,3.1530111429912955,3.162082609312272
HU_MOM2,385.0,7.371036618272071,0.06332457848646239,7.11540506410727,7.346584745738196,7.389254557106622,7.419498386029382,7.440765155329216
HU_MOM3,385.0,14.353794266764085,0.9387191286446152,12.150301226048263,13.701676846273504,14.290326904970732,14.965053207844525,17.164124515444918
HU_MOM4,385.0,13.731238892987596,0.9035718465607001,11.413273292784044,13.057659400468488,13.78610496688146,14.37467131597297,16.422760159061006
HU_MOM5,385.0,5.653096094761452,27.592244213803266,-31.71337994678373,-27.857704767930255,26.0078414248346,28.28905423239252,32.78294368942213
HU_MOM6,385.0,3.5352547981828013,17.44742116561943,-22.718731885390344,-17.729528085599664,16.560716801106967,17.721426073902766,21.25601165310844
HU_MOM7,385.0,-0.10893161800871681,28.19118560998493,-32.45704753207162,-27.97605020665772,-24.24713461447493,28.305442983078045,32.131667466446395
CIRCULARITY,385.0,0.09240422146445056,0.0888776320429341,0.002589793976225,0.0305996593079512,0.0641274728402202,0.1196323780506513,0.5222601672747875
PERI_AREA_RATIO,385.0,29.434350545512395,12.23518754817743,3.828640896708617,21.37527021298464,29.26739394271133,35.99046712865342,84.18283419499167
FG_STD,385.0,3.722381633305521,0.672831959195457,2.2698833319026788,3.3000229986094425,3.807898375427143,4.147277622751963,7.135541771847177
FG_VAR,385.0,14.307652017738802,5.1843941328261085,5.152370340449606,10.890151791351256,14.500090037580676,17.19991168017917,50.91595637777596
FG_MIN,385.0,-45.3234731896104,10.63571692034854,-80.21379,-51.005066,-42.712467,-39.16339,-24.818008
FG_MAX,385.0,-16.589363925974027,3.568721981266427,-24.63784,-18.135931,-16.86517,-15.26949,0.0
FG_MEAN,385.0,-24.257726213539566,3.3035279645679028,-31.69956566800581,-25.70902290147942,-24.32450446031981,-22.441741592582616,-15.810670166769611
FG_MEDIAN,385.0,-23.681905807792212,3.1816718005750473,-30.93213,-25.0738,-23.719208,-21.855637,-15.560224
FG_VAR_COEF,385.0,-0.153540796525192,0.019767605524093193,-0.2630229142624444,-0.1647896755674205,-0.1547989351170663,-0.1394322755790973,-0.1053246038622162
BG_STD,385.0,3.1476899483061778,0.7323566718736015,2.1865198005978157,2.7197207230827933,3.0218565300989657,3.3379831037773324,10.23652427934008
BG_VAR,385.0,10.442905198246205,7.083524921577735,4.78086883840631,7.396880811565992,9.13161688850176,11.142131201102954,104.78642932151897
BG_MIN,385.0,-44.117961179220785,11.890431978125687,-92.55929,-50.49299,-42.025623,-35.937263,-21.368105
BG_MAX,385.0,-5.0538101785194804,11.715123542395233,-19.660446,-13.276608,-11.125083,3.9169238,25.861078
BG_MEAN,385.0,-20.008256858590634,2.920821279868996,-27.64255220898673,-21.02986072996707,-19.81126406752412,-18.47681698165648,-11.389848957090882
BG_MEDIAN,385.0,-19.71389959090909,2.791401376000203,-27.017075,-20.603445,-19.516752,-18.175304,-12.625086
BG_VAR_COEF,385.0,-0.15908891461549085,0.04850593678130724,-0.8987410033183288,-0.1633970164238355,-0.1527005463050993,-0.142560896129949,-0.1147805160342836
FG_DARK_INTENS,385.0,4.249469354948931,1.2857948941501278,1.9712691615047329,3.3238115538698505,4.143993848290329,4.932579496145063,13.996607339886864
FG_BG_KS_STAT,385.0,0.5208771926695509,0.08608680781355295,0.2907163225785579,0.457565874333677,0.5189345846514595,0.5809356339319661,0.7563072222693712
FG_BG_MW_STAT,385.0,3414560103.1896105,24440020560.928238,4592.0,257489.0,2024458.0,20684128.0,331687400000.0
FG_BG_RAT_ARI,385.0,0.8252750662077922,0.045281885401992225,0.4486585,0.80392283,0.8286626,0.8526058,0.9230994
FG_BG_RAT_QUA,385.0,0.8262514942077922,0.042182143477842174,0.5928695,0.80456054,0.8296451,0.8538478,0.92872185
AREA_KM_DS,385.0,1.7947216132561898,6.865188561630689,0.0101250711967,0.100097223428,0.240193535849,0.661866618513,80.3452560183
PERIM_KM_DS,385.0,22.162631165836576,57.53993822046842,0.852357189762,3.48611086979,6.48095957801,15.6348760546,538.064702516
